case_id,N,Nt,Q_min,Q_mean,Q_max,Q_std,T_min_first,T_mean_first,T_max_last,f_mean_last,melt_frac_last,liquid_frac_last
1,120,24,33973.9,85036.8,611252,139060,302.623,313.945,471.49,0.883241,0.886597,0.870278
2,120,24,75243.2,100000,221776,27660.9,304.744,314.181,394.676,0.966944,0.966944,0.966944
3,120,24,73132.8,100000,242803,35283.9,304.822,314.285,425.516,0.966944,0.966944,0.966944
4,120,24,44245.8,82216.1,549682,107126,303.009,313.616,432.471,0.910227,0.910347,0.907083
5,120,24,41371.5,85196.8,548436,106328,303.344,313.785,421.854,0.909931,0.909931,0.909931
6,120,24,82371.9,100000,189689,21630.8,305.207,314.162,402.587,0.966944,0.966944,0.966944
7,120,24,86351.8,100000,155736,16547.9,305.406,314.074,392.156,0.966944,0.966944,0.966944
8,120,24,56913.4,100000,234423,45359,304.548,314.476,437.73,0.966944,0.966944,0.966944
9,120,24,4.5,40314.1,1.1919e+06,206122,300.018,311.684,417.741,0.549995,0.675556,0.545139
10,120,24,83167.7,100000,188336,22084.7,305.271,314.147,403.166,0.966944,0.966944,0.966944
11,120,24,4.5,75395.3,1.19885e+06,275681,300.106,313.796,487.328,0.693491,0.899653,0.689583
12,120,24,4.5,62481.5,1.19939e+06,254395,300.106,313.08,477.276,0.75672,0.912083,0.751875
13,120,24,82971.5,100000,243905,30520.8,305.228,314.188,408.619,0.966944,0.966944,0.966944
14,120,24,4.5,127878,1.19555e+06,348584,300.077,317.072,563.784,0.804097,0.852569,0.8025
15,120,24,75763,100000,203275,27062.4,304.968,314.232,419.135,0.966944,0.966944,0.966944
16,120,24,4.5,108841,1.18195e+06,329890,300.334,315.771,522.842,0.825917,0.873819,0.823611
17,120,24,38790.2,113274,582668,158444,303.322,315.565,483.697,0.842534,0.842639,0.841319
18,120,24,34042.3,73960.6,674955,118156,302.498,313.198,421.779,0.901799,0.925694,0.840139
19,120,24,4.5,74641.4,1.04871e+06,261410,300.018,313.77,467.899,0.688077,0.896458,0.684306
20,120,24,86466.9,100000,141938,11888.1,305.521,314.096,399.22,0.966944,0.966944,0.966944
21,120,24,86117.8,100000,160342,17373.7,305.411,314.114,397.6,0.966944,0.966944,0.966944
22,120,24,4.5,64115.6,1.11353e+06,253957,300.24,313.175,496.118,0.694266,0.908958,0.688611
23,120,24,70829,100000,239661,33637.6,304.666,314.295,416.975,0.966944,0.966944,0.966944
24,120,24,42808.1,92382,452174,94875.5,303.162,314.211,446.071,0.877014,0.877014,0.877014
25,120,24,67349.1,100000,214624,35712.9,304.482,314.305,406.886,0.966944,0.966944,0.966944
26,120,24,51352.9,100000,249945,50724.1,303.764,314.49,431.027,0.966944,0.966944,0.966944
27,120,24,37628.5,86310,553569,127781,302.538,313.951,468.723,0.891392,0.894306,0.870278
28,120,24,78333.2,100000,234253,32604.2,304.91,314.172,394.214,0.966944,0.966944,0.966944
29,120,24,84846.8,100000,175978,19133.1,305.316,314.104,393.093,0.966944,0.966944,0.966944
30,120,24,48872,100000,259095,51175.2,303.82,314.545,442.16,0.966944,0.966944,0.966944
31,120,24,4.5,58644.6,1.18885e+06,248975,300.017,312.829,487.834,0.592695,0.719375,0.589097
32,120,24,59318.3,100000,248073,45096.3,303.799,314.402,413.697,0.966944,0.966944,0.966944
33,120,24,23127.5,93205.6,492028,124742,302.656,314.505,458.784,0.854444,0.857431,0.849931
34,120,24,81907.4,100000,217707,25865.4,305.184,314.165,412.859,0.966944,0.966944,0.966944
35,120,24,42414.7,118802,668448,168238,302.724,315.832,494.52,0.842222,0.842222,0.842222
36,120,24,4.5,78257,1.19113e+06,277949,300.147,314.067,516.078,0.796305,0.895486,0.792847
37,120,24,4.5,73884.2,1.12973e+06,268081,300.24,313.78,544.789,0.769624,0.898333,0.765625
38,120,24,38841,109214,735085,179100,302.98,315.366,523.697,0.885687,0.885694,0.885486
39,120,24,38469.8,91133.3,435951,117380,302.549,314.244,447.107,0.849601,0.852986,0.826042
40,120,24,60360.6,100000,249048,42420.4,304.05,314.408,419.643,0.966944,0.966944,0.966944
41,120,24,70226.2,100000,228359,38533.5,304.577,314.297,408.814,0.966944,0.966944,0.966944
42,120,24,71847.9,100000,217065,32199,304.58,314.26,409.024,0.966944,0.966944,0.966944
43,120,24,37791.1,82627.8,433772,112905,302.797,313.708,435.477,0.856263,0.856319,0.855694
44,120,24,4.5,70552.9,1.12439e+06,263703,300.028,313.562,497.344,0.640212,0.902847,0.636667
45,120,24,4.5,113404,1.1793e+06,330828,300.676,316.224,550.319,0.847507,0.864236,0.846042
46,120,24,49811.1,112558,560949,139858,305.215,315.423,470.453,0.869236,0.869236,0.869236
47,120,24,4.5,97418,1.10421e+06,307929,300.072,315.209,535.388,0.792552,0.877847,0.789931
48,120,24,36327,81669.8,446400,103684,302.498,313.689,440.246,0.865704,0.873056,0.839514
49,120,24,67378.2,100000,221712,33114.1,304.428,314.309,415.541,0.966944,0.966944,0.966944
50,120,24,70571.5,100000,244385,36415,304.518,314.26,411.125,0.966944,0.966944,0.966944
51,120,24,33188.9,80795.8,672272,151402,302.495,313.729,485.77,0.888865,0.89875,0.863819
52,120,24,4.5,108559,1.1165e+06,324871,300.07,315.819,561.269,0.711362,0.869444,0.707847
53,120,24,4.5,96258.3,1.1309e+06,308630,300.086,315.173,566.001,0.747072,0.880833,0.74375
54,120,24,75709.5,100000,220493,28005.5,305.02,314.208,411.104,0.966944,0.966944,0.966944
55,120,24,86803.6,100000,164839,16204.7,305.461,314.115,399.444,0.966944,0.966944,0.966944
56,120,24,4.5,110600,1.12596e+06,328054,300.077,315.962,599.083,0.720458,0.867569,0.717222
57,120,24,4.5,79118.3,1.13974e+06,284804,300.429,314.118,520.816,0.817732,0.897083,0.813264
58,120,24,4.5,96508.6,1.09226e+06,301265,300.015,315.066,537.062,0.655278,0.875,0.651875
59,120,24,81822.8,100000,185787,21818.7,305.285,314.157,402.696,0.966944,0.966944,0.966944
60,120,24,4.5,37554.4,1.09555e+06,193330,300.047,311.515,424.5,0.524534,0.932361,0.518194
61,120,24,4.5,103059,1.19852e+06,329471,300.359,315.616,623.893,0.848292,0.879583,0.846389
62,120,24,4.5,81183.8,1.16154e+06,285741,300.254,314.186,461.5,0.766216,0.895764,0.762014
63,120,24,4.5,158212,1.16187e+06,386994,300.088,318.623,576.636,0.785289,0.828125,0.784028
64,120,24,23112.6,92504.4,556324,128117,302.154,314.489,470.445,0.855207,0.867361,0.839236
65,120,24,71975.7,100000,240661,38456.8,304.85,314.284,425.595,0.966944,0.966944,0.966944
66,120,24,94991.6,100000,151131,7674.05,305.943,314.044,395.306,0.966944,0.966944,0.966944
67,120,24,4.5,61937.8,1.1508e+06,248973,300.012,312.897,438.904,0.621489,0.726111,0.617292
68,120,24,4.5,97069.1,1.15555e+06,310449,301.245,315.225,530.135,0.84655,0.881528,0.844583
69,120,24,85753.9,100000,158658,14582.4,305.451,314.112,400.36,0.966944,0.966944,0.966944
70,120,24,74780.2,100000,295308,44873.4,304.697,314.243,416.246,0.966944,0.966944,0.966944
71,120,24,40974,100000,397643,93306.6,302.967,314.727,475.44,0.966931,0.966944,0.966528
72,120,24,76843.1,100000,172863,21726.7,304.853,314.189,399.333,0.966944,0.966944,0.966944
73,120,24,68534.5,100000,206095,40625.9,304.336,314.302,414.477,0.966944,0.966944,0.966944
74,120,24,4.5,81056.5,1.13303e+06,287418,300.095,314.234,530.962,0.732954,0.895139,0.729236
75,120,24,34643.7,101009,456819,128011,302.966,314.899,452.455,0.812292,0.812292,0.812292
76,120,24,79248.3,100000,215154,28218.9,305.015,314.174,411.623,0.966944,0.966944,0.966944
77,120,24,13823.6,71113.1,644597,131109,302.645,313.342,447.073,0.874279,0.913264,0.848194
78,120,24,4.5,103700,1.13229e+06,317322,300.521,315.622,574.398,0.838896,0.873819,0.836667
79,120,24,4.5,75239.4,1.15425e+06,271227,300.062,313.743,521.874,0.615177,0.897778,0.610556
80,120,24,90602.6,100000,138874,10905.3,305.67,314.038,393.272,0.966944,0.966944,0.966944
81,120,24,59258.1,89122.1,705558,117059,303.866,313.876,414.922,0.923542,0.923542,0.923542
82,120,24,4.5,178673,1.10096e+06,389263,301.193,320.144,639.433,0.792667,0.798542,0.791944
83,120,24,4.5,53501.1,1.08082e+06,226510,300.048,312.515,441.267,0.678055,0.91625,0.673264
84,120,24,4.5,102805,1.06211e+06,302794,300.117,315.547,524.185,0.800777,0.866736,0.798681
85,120,24,92985.2,100000,138923,10022.1,305.821,314.061,395.471,0.966944,0.966944,0.966944
86,120,24,4.5,56065.2,1.10898e+06,236816,300.065,312.626,448.743,0.566381,0.915694,0.560903
87,120,24,58032.6,100000,296619,56520,304.057,314.482,444.677,0.966944,0.966944,0.966944
88,120,24,37390.6,88599.5,650569,138829,302.795,314.071,454.992,0.900206,0.903889,0.876944
89,120,24,87449.6,100000,220283,22288.8,305.509,314.136,410.425,0.966944,0.966944,0.966944
90,120,24,88420.7,100000,163914,14699.2,305.541,314.079,394.956,0.966944,0.966944,0.966944
91,120,24,89128,100000,210370,18910.2,305.596,314.108,399.957,0.966944,0.966944,0.966944
92,120,24,64939.2,100000,247108,46561.2,304.836,314.386,436.411,0.966944,0.966944,0.966944
93,120,24,4.5,58912.9,1.18288e+06,240190,300.087,312.8,441.505,0.629292,0.911806,0.624514
94,120,24,45651,100000,291846,59684.1,303.62,314.566,441.125,0.966944,0.966944,0.966944
95,120,24,23370.2,87266,700898,139193,302.331,314.152,452.969,0.860554,0.900486,0.817778
96,120,24,36189.1,100000,316747,59534.2,303.657,314.631,430.954,0.966944,0.966944,0.966944
97,120,24,20812.8,100600,735899,181131,302.448,315.073,487.973,0.873532,0.877847,0.868542
98,120,24,4.5,95351.4,1.19914e+06,308448,300.846,315.117,519.265,0.855111,0.883403,0.853472
99,120,24,37389.9,100000,335494,75102.5,303.37,314.672,452.682,0.965921,0.966944,0.956111
100,120,24,4.5,178145,1.19589e+06,402172,301.253,320.129,696.315,0.806245,0.806319,0.806111
101,120,24,72726.3,100000,196817,29628.7,305.02,314.257,411.764,0.966944,0.966944,0.966944
102,120,24,4.5,71780.1,1.18708e+06,271391,300.433,313.596,494.315,0.750805,0.903125,0.745278
103,120,24,76799.3,100000,300469,42043.2,304.901,314.249,424.212,0.966944,0.966944,0.966944
104,120,24,74325.9,100000,262716,37726.3,304.658,314.17,396.071,0.966944,0.966944,0.966944
105,120,24,4.5,101167,1.07824e+06,307790,300.621,315.37,551.926,0.82336,0.872639,0.820764
106,120,24,4.5,109072,1.16898e+06,329151,300.34,315.821,558.65,0.844112,0.870556,0.842292
107,120,24,78671.5,100000,209015,24525.5,305.048,314.21,402.209,0.966944,0.966944,0.966944
108,120,24,57020.3,85575.3,423187,79006.2,303.669,313.6,400.07,0.908681,0.908681,0.908681
109,120,24,89897.3,100000,185572,16581.1,305.631,314.1,397.766,0.966944,0.966944,0.966944
110,120,24,4.5,157266,1.17794e+06,391003,300.351,318.621,627.847,0.814526,0.832708,0.813472
111,120,24,80267.5,100000,196102,25149.3,305.132,314.171,402.75,0.966944,0.966944,0.966944
112,120,24,4.5,70473.8,1.16978e+06,256730,300.202,313.524,469.864,0.763735,0.900208,0.759722
113,120,24,40506.1,135456,854779,218231,303.867,316.954,519.257,0.853125,0.853125,0.853125
114,120,24,57105.8,100000,280705,54541.4,303.778,314.387,421.894,0.966944,0.966944,0.966944
115,120,24,42511.6,76838.7,471810,87844.2,303.164,313.29,411.268,0.910278,0.910278,0.910278
116,120,24,4.5,95178.9,1.14586e+06,299502,300.559,315.077,584.659,0.840848,0.8825,0.838819
117,120,24,4.5,105571,1.14469e+06,322198,300.055,315.624,574.128,0.732198,0.873194,0.728403
118,120,24,35793.2,115189,646966,177610,303.626,315.8,490.163,0.836111,0.836111,0.836111
119,120,24,4.5,130532,1.17456e+06,345944,300.463,317.278,572.389,0.830807,0.845625,0.829861
120,120,24,89301.6,100000,208809,21594.3,305.6,314.075,395.507,0.966944,0.966944,0.966944
121,120,24,4.5,51414.7,1.15453e+06,231179,300.167,312.323,470.735,0.631127,0.921181,0.625486
122,120,24,4.5,122350,1.18783e+06,351446,300.075,316.544,540.572,0.796005,0.861944,0.793958
123,120,24,47430.9,109734,555631,145760,303.791,315.24,486.803,0.852569,0.852569,0.852569
124,120,24,78544.5,100000,191539,24168,304.94,314.18,399.749,0.966944,0.966944,0.966944
