dataset_size,epoch,train_loss,train_rmse,val_loss,val_rmse
80,1,1.0261,1.0129,0.85087,0.92242
80,2,1.0215,1.0102,0.85053,0.92224
80,3,1.0146,1.0069,0.84997,0.92194
80,4,1.0045,1.0016,0.84896,0.92139
80,5,0.98942,0.9944,0.84703,0.92034
80,6,0.9648,0.9817,0.84354,0.91845
80,7,0.91924,0.95856,0.83575,0.9142
80,8,0.85752,0.92602,0.82295,0.90716
80,9,0.82003,0.90551,0.81573,0.90318
80,10,0.8004,0.8946,0.79547,0.89189
80,11,0.7782,0.88212,0.78954,0.88856
80,12,0.76828,0.8765,0.75689,0.87
80,13,0.74241,0.86158,0.74148,0.86109
80,14,0.73196,0.85543,0.73298,0.85614
80,15,0.71975,0.84832,0.72829,0.8534
80,16,0.70903,0.84198,0.72557,0.8518
80,17,0.70534,0.83983,0.71944,0.8482
80,18,0.69792,0.83535,0.71228,0.84397
80,19,0.69117,0.83133,0.7053,0.83982
80,20,0.68736,0.82895,0.69886,0.83598
80,21,0.67658,0.82252,0.68945,0.83033
80,22,0.67094,0.81908,0.6744,0.82122
80,23,0.64991,0.80607,0.64712,0.80444
80,24,0.62303,0.78927,0.60911,0.78045
80,25,0.58902,0.76745,0.54217,0.73632
80,26,0.53365,0.73024,0.46365,0.68092
80,27,0.49344,0.702,0.43054,0.65616
80,28,0.4514,0.67166,0.39152,0.62572
80,29,0.40058,0.63219,0.40226,0.63424
80,30,0.32925,0.57218,0.46865,0.68458
80,31,0.25828,0.5074,0.44574,0.66764
80,32,0.2274,0.47654,0.20213,0.44959
80,33,0.20826,0.45576,0.15187,0.3897
80,34,0.19968,0.44541,0.10236,0.31994
80,35,0.17997,0.42345,0.10905,0.33023
80,36,0.17096,0.41281,0.079127,0.2813
80,37,0.16841,0.40979,0.10773,0.32823
80,38,0.16314,0.40359,0.071185,0.2668
80,39,0.1486,0.385,0.087738,0.29621
80,40,0.1447,0.37978,0.062858,0.25072
80,41,0.14374,0.37822,0.06357,0.25213
80,42,0.14274,0.37456,0.057381,0.23954
80,43,0.13486,0.36639,0.055448,0.23547
80,44,0.13259,0.36394,0.058715,0.24231
80,45,0.129,0.35842,0.056376,0.23744
80,46,0.1261,0.35443,0.054209,0.23283
80,47,0.12382,0.35078,0.064269,0.25351
80,48,0.11145,0.33356,0.049121,0.22163
80,49,0.11343,0.33632,0.050293,0.22426
80,50,0.10926,0.33036,0.044256,0.21037
80,51,0.10721,0.3271,0.057317,0.23941
80,52,0.11205,0.33447,0.039477,0.19869
80,53,0.10433,0.32276,0.045235,0.21269
80,54,0.11716,0.33759,0.038161,0.19535
80,55,0.10036,0.31676,0.038979,0.19743
